"N","Author","Year","Species","Genus","Family","F.H","Life.form","Sp.origin","Approach","Response","Phase1.m.ori","Phase1.m","Phase1.culti","Experimental.setting","SoilTp","Phase2.grow","Phase2.time","Source","rr","var","Latitude","Longitude","Latitude.abs","MAT","MAP","AI","group","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder_a_code","coder_b_code"
"5634","Bezemer,2018","2018","Holcus lanatus","Holcus","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","2","Greenhouse","Monoculture","Greenhouse","Whole soil","Competition","2.75","Original data","-0.19413862","0.008866251","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=2; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5635","Bezemer,2018","2018","Holcus lanatus","Holcus","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","2","Greenhouse","Monoculture","Greenhouse","Whole soil","Competition","2.75","Original data","-0.009154258","0.008811423","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=2; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5636","Bezemer,2018","2018","Jacobaea vulgaris","Jacobaea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","2","Greenhouse","Monoculture","Greenhouse","Whole soil","Alone","2.75","Original data","-0.078786562","0.010784154","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=2; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5637","Bezemer,2018","2018","Jacobaea vulgaris","Jacobaea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","2","Greenhouse","Monoculture","Greenhouse","Whole soil","Alone","2.75","Original data","0.067005139","0.017841534","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=2; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5638","Bezemer,2018","2018","Jacobaea vulgaris","Jacobaea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","2","Greenhouse","Monoculture","Greenhouse","Whole soil","Competition","2.75","Original data","-0.839538086","0.07800823","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=2; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5639","Bezemer,2018","2018","Jacobaea vulgaris","Jacobaea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","2","Greenhouse","Monoculture","Greenhouse","Whole soil","Competition","2.75","Original data","-0.581233659","0.086709877","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=2; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5640","Bezemer,2018","2018","Holcus lanatus","Holcus","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","4.75","Greenhouse","Monoculture","Greenhouse","Whole soil","Alone","1","Original data","-0.690553145","0.190489991","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=4.75; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5641","Bezemer,2018","2018","Holcus lanatus","Holcus","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","2","Greenhouse","Monoculture","Greenhouse","Whole soil","Alone","1","Original data","-0.505783347","0.054154143","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=2; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5642","Bezemer,2018","2018","Jacobaea vulgaris","Jacobaea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","4.75","Greenhouse","Monoculture","Greenhouse","Whole soil","Alone","1","Original data","-1.131454223","0.178275924","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=4.75; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5643","Bezemer,2018","2018","Jacobaea vulgaris","Jacobaea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","2","Greenhouse","Monoculture","Greenhouse","Whole soil","Alone","1","Original data","-0.494636896","0.098518907","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=2; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5644","Bezemer,2018","2018","Holcus lanatus","Holcus","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","4.75","Greenhouse","Monoculture","Greenhouse","Whole soil","Alone","2","Original data","-0.362086549","0.028646708","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=4.75; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5645","Bezemer,2018","2018","Holcus lanatus","Holcus","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","2","Greenhouse","Monoculture","Greenhouse","Whole soil","Alone","2","Original data","-0.655450994","0.042184866","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=2; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5646","Bezemer,2018","2018","Jacobaea vulgaris","Jacobaea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","4.75","Greenhouse","Monoculture","Greenhouse","Whole soil","Alone","2","Original data","-0.450796314","0.063007231","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=4.75; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5647","Bezemer,2018","2018","Jacobaea vulgaris","Jacobaea","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","2","Greenhouse","Monoculture","Greenhouse","Whole soil","Alone","2","Original data","0.022328434","0.073009734","52.06","5.75","52.06","9.387499809","851","1.0966","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=2; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5648","Kembel et al. 2018","2018","Artemisia absinthium","Artemisia","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.595665421","0.106104828","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5649","Kembel et al. 2018","2018","Artemisia absinthium","Artemisia","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.76782854","0.163261803","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5650","Kembel et al. 2018","2018","Artemisia absinthium","Artemisia","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.144750901","0.091268428","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5651","Kembel et al. 2018","2018","Artemisia absinthium","Artemisia","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.627777378","0.087959328","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5652","Kembel et al. 2018","2018","Artemisia absinthium","Artemisia","Asteraceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.190859879","0.098640361","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5653","Kembel et al. 2018","2018","Artemisia vallesiaca","Artemisia","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.339124758","0.196045627","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5654","Kembel et al. 2018","2018","Artemisia vallesiaca","Artemisia","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.499380802","0.116687723","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5655","Kembel et al. 2018","2018","Artemisia vallesiaca","Artemisia","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.693738302","0.061556554","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5656","Kembel et al. 2018","2018","Artemisia vallesiaca","Artemisia","Asteraceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.489518016","0.071078929","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5657","Kembel et al. 2018","2018","Artemisia vallesiaca","Artemisia","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.516815219","0.089807665","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5658","Kembel et al. 2018","2018","Bidens cernua","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.298492989","0.338371013","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5659","Kembel et al. 2018","2018","Bidens cernua","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.570704536","0.397238179","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5660","Kembel et al. 2018","2018","Bidens radiata","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-2.179912072","0.587291654","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5661","Kembel et al. 2018","2018","Bidens radiata","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-3.825454989","0.581264954","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5662","Kembel et al. 2018","2018","Bidens radiata","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-4.536917459","0.49957415","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5663","Kembel et al. 2018","2018","Bidens radiata","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-3.160884927","0.673797563","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5664","Kembel et al. 2018","2018","Bidens radiata","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-5.122293014","0.542677068","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5665","Kembel et al. 2018","2018","Bidens tripartita","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.589176099","0.172021208","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5666","Kembel et al. 2018","2018","Bidens tripartita","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.468510983","0.19880787","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5667","Kembel et al. 2018","2018","Bidens tripartita","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.443392321","0.385272676","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5668","Kembel et al. 2018","2018","Bidens tripartita","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.018403324","0.561985096","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5669","Kembel et al. 2018","2018","Bidens tripartita","Bidens","Asteraceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.534324999","0.332296755","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5670","Kembel et al. 2018","2018","Bromus erectus","Bromus","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.542846454","0.087657189","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5671","Kembel et al. 2018","2018","Bromus erectus","Bromus","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.279994968","0.035414777","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5672","Kembel et al. 2018","2018","Bromus erectus","Bromus","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.424976234","0.064821442","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5673","Kembel et al. 2018","2018","Bromus erectus","Bromus","Poaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","0.030239654","0.039044449","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5674","Kembel et al. 2018","2018","Bromus erectus","Bromus","Poaceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.786427965","0.084270929","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5675","Kembel et al. 2018","2018","Campanula rotundifolia","Campanula","Campanulaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.143152926","0.259812634","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5676","Kembel et al. 2018","2018","Campanula rotundifolia","Campanula","Campanulaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.562142355","0.050470641","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5677","Kembel et al. 2018","2018","Campanula rotundifolia","Campanula","Campanulaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.295657993","0.06024415","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5678","Kembel et al. 2018","2018","Campanula rotundifolia","Campanula","Campanulaceae","Greenhouse","Nonwoody","Native","Self-Other","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-0.003120127","0.046217765","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Other; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
"5679","Kembel et al. 2018","2018","Campanula rotundifolia","Campanula","Campanulaceae","Greenhouse","Nonwoody","Native","Self-Sterilized","Total_biomass","19","Greenhouse","Monoculture","Greenhouse","Inoculum","Alone","5.5","Authors","-1.473164669","0.028723758","46.93","7.49","46.93","9.024999619","1042","1.1286","Nonwoody Greenhouse","HU","","low","Approach=Self-Sterilized; F.H=Greenhouse; Phase1.m.ori=19; Phase1.m=Greenhouse; Experimental.setting=Greenhouse. The metadata do not uniquely establish field-to-controlled relocation or controlled history; retained as HU.","RECON-HU-INSUFFICIENT-PROVENANCE","HU","HU"
